# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|q0|²	|q1|²	|q2|²	N
#
  0.5     	0          	0          	0          	0          	1          
  0.50033 	0          	0          	0          	0          	1          
  0.50066 	0          	0          	0          	0          	1          
  0.50099 	0          	0          	0          	0          	1          
  0.50132 	0          	0          	0          	0          	1          
  0.50165 	0          	0          	0          	0          	1          
  0.50198 	0          	0          	0          	0          	1          
  0.50231 	0          	0          	0          	0          	1          
  0.50264 	0          	0          	0          	0          	1          
  0.50297 	0          	0          	0          	0          	1          
  0.5033  	0          	0          	0          	0          	1          
  0.50363 	0          	0          	0          	0          	1          
  0.50396 	0          	0          	0          	0          	1          
  0.50429 	0          	0          	0          	0          	1          
  0.50462 	0          	0          	0          	0          	1          
  0.50495 	0          	0          	0          	0          	1          
  0.50528 	0          	0          	0          	0          	1          
  0.50561 	0          	0          	0          	0          	1          
  0.50594 	0          	0          	0          	0          	1          
  0.50627 	0          	0          	0          	0          	1          
  0.5066  	0          	0          	0          	0          	1          
  0.50693 	0          	0          	0          	0          	1          
  0.50726 	0          	0          	0          	0          	1          
  0.50759 	0          	0          	0          	0          	1          
  0.50792 	0          	0          	0          	0          	1          
  0.50825 	0          	0          	0          	0          	1          
  0.50858 	0          	0          	0          	0          	1          
  0.50891 	0          	0          	0          	0          	1          
  0.50924 	0          	0          	0          	0          	1          
  0.50957 	0          	0          	0          	0          	1          
  0.5099  	0          	0          	0          	0          	1          
  0.51023 	0          	0          	0          	0          	1          
  0.51056 	0          	0          	0          	0          	1          
  0.51089 	0          	0          	0          	0          	1          
  0.51122 	0          	0          	0          	0          	1          
  0.51155 	0          	0          	0          	0          	1          
  0.51188 	0          	0          	0          	0          	1          
  0.51221 	0          	0          	0          	0          	1          
  0.51254 	0          	0          	0          	0          	1          
  0.51287 	0          	0          	0          	0          	1          
  0.5132  	0          	0          	0          	0          	1          
  0.51353 	0          	0          	0          	0          	1          
  0.51386 	0          	0          	0          	0          	1          
  0.51419 	0          	0          	0          	0          	1          
  0.51452 	0          	0          	0          	0          	1          
  0.51485 	0          	0          	0          	0          	1          
  0.51518 	0          	0          	0          	0          	1          
  0.51551 	0          	0          	0          	0          	1          
  0.51584 	0          	0          	0          	0          	1          
  0.51617 	0          	0          	0          	0          	1          
  0.5165  	0          	0          	0          	0          	1          
  0.51683 	0          	0          	0          	0          	1          
  0.51716 	0          	0          	0          	0          	1          
  0.51749 	0          	0          	0          	0          	1          
  0.51782 	0          	0          	0          	0          	1          
  0.51815 	0          	0          	0          	0          	1          
  0.51848 	0          	0          	0          	0          	1          
  0.51881 	0          	0          	0          	0          	1          
  0.51914 	0          	0          	0          	0          	1          
  0.51947 	0          	0          	0          	0          	1          
  0.5198  	0          	0          	0          	0          	1          
  0.52013 	0          	0          	0          	0          	1          
  0.52046 	0          	0          	0          	0          	1          
  0.52079 	0          	0          	0          	0          	1          
  0.52112 	0          	0          	0          	0          	1          
  0.52145 	0          	0          	0          	0          	1          
  0.52178 	0          	0          	0          	0          	1          
  0.52211 	0          	0          	0          	0          	1          
  0.52244 	0          	0          	0          	0          	1          
  0.52277 	0          	0          	0          	0          	1          
  0.5231  	0          	0          	0          	0          	1          
  0.52343 	0          	0          	0          	0          	1          
  0.52376 	0          	0          	0          	0          	1          
  0.52409 	0          	0          	0          	0          	1          
  0.52442 	0          	0          	0          	0          	1          
  0.52475 	0          	0          	0          	0          	1          
  0.52508 	0          	0          	0          	0          	1          
  0.52541 	0          	0          	0          	0          	1          
  0.52574 	0          	0          	0          	0          	1          
  0.52607 	0          	0          	0          	0          	1          
  0.5264  	0          	0          	0          	0          	1          
  0.52673 	0          	0          	0          	0          	1          
  0.52706 	0          	0          	0          	0          	1          
  0.52739 	0          	0          	0          	0          	1          
  0.52772 	0          	0          	0          	0          	1          
  0.52805 	0          	0          	0          	0          	1          
  0.52838 	0          	0          	0          	0          	1          
  0.52871 	0          	0          	0          	0          	1          
  0.52904 	0          	0          	0          	0          	1          
  0.52937 	0          	0          	0          	0          	1          
  0.5297  	0          	0          	0          	0          	1          
  0.53003 	0          	0          	0          	0          	1          
  0.53036 	0          	0          	0          	0          	1          
  0.53069 	0          	0          	0          	0          	1          
  0.53102 	0          	0          	0          	0          	1          
  0.53135 	0          	0          	0          	0          	1          
  0.53168 	0          	0          	0          	0          	1          
  0.53201 	0          	0          	0          	0          	1          
  0.53234 	0          	0          	0          	0          	1          
  0.53267 	0          	0          	0          	0          	1          
  0.533   	0          	0          	0          	0          	1          
  0.53333 	0          	0          	0          	0          	1          
  0.53366 	0          	0          	0          	0          	1          
  0.53399 	0          	0          	0          	0          	1          
  0.53432 	0          	0          	0          	0          	1          
  0.53465 	0          	0          	0          	0          	1          
  0.53498 	0          	0          	0          	0          	1          
  0.53531 	0          	0          	0          	0          	1          
  0.53564 	0          	0          	0          	0          	1          
  0.53597 	0          	0          	0          	0          	1          
  0.5363  	0          	0          	0          	0          	1          
  0.53663 	0          	0          	0          	0          	1          
  0.53696 	0          	0          	0          	0          	1          
  0.53729 	0          	0          	0          	0          	1          
  0.53762 	0          	0          	0          	0          	1          
  0.53795 	0          	0          	0          	0          	1          
  0.53828 	0          	0          	0          	0          	1          
  0.53861 	0          	0          	0          	0          	1          
  0.53894 	0          	0          	0          	0          	1          
  0.53927 	0          	0          	0          	0          	1          
  0.5396  	0          	0          	0          	0          	1          
  0.53993 	0          	0          	0          	0          	1          
  0.54026 	0          	0          	0          	0          	1          
  0.54059 	0          	0          	0          	0          	1          
  0.54092 	0          	0          	0          	0          	1          
  0.54125 	0          	0          	0          	0          	1          
  0.54158 	0          	0          	0          	0          	1          
  0.54191 	0          	0          	0          	0          	1          
  0.54224 	0          	0          	0          	0          	1          
  0.54257 	0          	0          	0          	0          	1          
  0.5429  	0          	0          	0          	0          	1          
  0.54323 	0          	0          	0          	0          	1          
  0.54356 	0          	0          	0          	0          	1          
  0.54389 	0          	0          	0          	0          	1          
  0.54422 	0          	0          	0          	0          	1          
  0.54455 	0          	0          	0          	0          	1          
  0.54488 	0          	0          	0          	0          	1          
  0.54521 	0          	0          	0          	0          	1          
  0.54554 	0          	0          	0          	0          	1          
  0.54587 	0          	0          	0          	0          	1          
  0.5462  	0          	0          	0          	0          	1          
  0.54653 	0          	0          	0          	0          	1          
  0.54686 	0          	0          	0          	0          	1          
  0.54719 	0          	0          	0          	0          	1          
  0.54752 	0          	0          	0          	0          	1          
  0.54785 	0          	0          	0          	0          	1          
  0.54818 	0          	0          	0          	0          	1          
  0.54851 	0          	0          	0          	0          	1          
  0.54884 	0          	0          	0          	0          	1          
  0.54917 	0          	0          	0          	0          	1          
  0.5495  	0          	0          	0          	0          	1          
  0.54983 	0          	0          	0          	0          	1          
  0.55016 	0          	0          	0          	0          	1          
  0.55049 	0          	0          	0          	0          	1          
  0.55082 	0          	0          	0          	0          	1          
  0.55115 	0          	0          	0          	0          	1          
  0.55148 	0          	0          	0          	0          	1          
  0.55181 	0          	0          	0          	0          	1          
  0.55214 	0          	0          	0          	0          	1          
  0.55247 	0          	0          	0          	0          	1          
  0.5528  	0          	0          	0          	0          	1          
  0.55313 	0          	0          	0          	0          	1          
  0.55346 	0          	0          	0          	0          	1          
  0.55379 	0          	0          	0          	0          	1          
  0.55412 	0          	0          	0          	0          	1          
  0.55445 	0          	0          	0          	0          	1          
  0.55478 	0          	0          	0          	0          	1          
  0.55511 	0          	0          	0          	0          	1          
  0.55544 	0          	0          	0          	0          	1          
  0.55577 	0          	0          	0          	0          	1          
  0.5561  	0          	0          	0          	0          	1          
  0.55643 	0          	0          	0          	0          	1          
  0.55676 	0          	0          	0          	0          	1          
  0.55709 	0          	0          	0          	0          	1          
  0.55742 	0          	0          	0          	0          	1          
  0.55775 	0          	0          	0          	0          	1          
  0.55808 	0          	0          	0          	0          	1          
  0.55841 	0          	0          	0          	0          	1          
  0.55874 	0          	0          	0          	0          	1          
  0.55907 	0          	0          	0          	0          	1          
  0.5594  	0          	0          	0          	0          	1          
  0.55973 	0          	0          	0          	0          	1          
  0.56006 	0          	0          	0          	0          	1          
  0.56039 	0          	0          	0          	0          	1          
  0.56072 	0          	0          	0          	0          	1          
  0.56105 	0          	0          	0          	0          	1          
